String Identifier	String Description (Comments)	English_US	English_UK	Portuguese	Spanish	Catalan	French	Italian	Dutch	German	Czech	Polish	Russian	Ukrainian	Croatian	Greek	Turkish	Hebrew	Arabic	Persian	Simplified Chinese	Korean	Japanese
LoseMoney_Title		BANKRUPT!	BANKRUPT!	FALÊNCIA!	¡BANCARROTA!	FALLIDA!	BANQUEROUTE!	BANCAROTTA!	Failliet	PLEITE!	BANKROT!	BANKRUT!	БАНКРОТ!	БАНКРУТ!	BANKROT!	ΧΡΕΟΚΟΠΗΣΑΤΕ!	İFLAS!	פטישת רגל!	إفلاس!	ورشکست !	破产！	파산!	破産！
LoseMoney_Description		You were not able to manage the emergency without running out of money, but you can try again.	You were not able to manage the emergency without running out of money, but you can try again.	Você não conseguiu cuidar da emergência sem gastar todo o dinheiro, mas você pode tentar novamente.	No has conseguido gestionar la emergencia sin quedarte sin dinero, pero puedes volver a intentarlo.	No has aconseguit gestionar l'emergència sense quedar-te sense diners, però pots tornr-ho a intentar de nou.	Vous n'avez pas réussi à gérer l'urgence sans utiliser tout votre argent, mais vous pouvez tenter à nouveau.	Non sei riuscito a gestire l'emergenza senza finire i soldi, ma puoi provare di nuovo.	U kunt de noodsituatie niet beheren zonder dat uw geld op was, maar u kunt het opnieuw proberen	Du konntest den Notfall nicht meistern, ohne dass dir das Geld ausgegangen ist, aber du kannst es noch einmal versuchen.	Nepodařilo se ti zvládnout nouzový stav, aniž bys zůstal bez peněz, ale můžeš to zkusit znova.	Zabrakło pieniędzy i nie udało ci się poradzić z sytuacją zagrożenia zdrowia, ale możesz spróbować ponownie.	Без денег ты не смог справиться с экстренной ситуацией, но можешь повторить попытку.	Тобі не вдалося впоратися з надзвичайною ситуацією без втрати грошей, але можеш спробувати знову.	Loše si upravljao kriznom situacijom jer si ostao bez novca, no možeš pokušati ponovno.	Δεν κατάφερες να διαχειριστείς την κρίση χωρίς να σου τελειώσουν τα χρήματα, αλλά μπορείς να προσπαθήσεις ξανά.	Acil durumu, paran bitmeden yönetemedin, ancak tekrar deneyebilirsin.	לא הצלחת לנהל את מצב החירום בלי שנגמר לך הכסף, אבל אפשר לנסות שוב	لم تكونوا قادرين على إدارة الحالة الطارئة من دون نفاد الأموال ، ولكن يمكنكم المحاولة من جديد.	شما بدون اینکه بودجه را به مصرف برسانید قادر به مدیریت بحران  نبودید. اما می توانید دوباره امتحان کنید.	如果你无法在控制在危机处理过程中不用光经费，你可以重新来过。	비상사태를 해결하기 전에 돈이 바닥나 버렸어요. 다시 도전해보세요.	予算を使い果たさずに緊急事態を乗り越えることはできませんでしたが、もう1回トライしてみましょう
LosePubOp_Title		PEOPLE ARE AGAINST YOU!	PEOPLE ARE AGAINST YOU!	REPROVAÇÃO POPULAR	¡EL PUEBLO EN CONTRA!	EL POBLE EN CONTRA TEVA!	LE PEUPLE SE TOURNE CONTRE VOUS!	IL POPOLO È CONTRO DI TE!	MENSEN ZIJN TEGEN JE	DIE LEUTE SIND GEGEN DICH!	LIDÉ SE OBRÁTILI PROTI TOBĚ!	NARÓD JEST PRZECIWKO TOBIE!	НАРОД ПРОТИВ!	НАРОД ПРОТИ!	SVI SU PROTIV TEBE!	Ο ΛΑΟΣ ΕΞΕΓΕΙΡΕΤΑΙ!	HALK SİZE KARŞI GELİYOR!	האזרחים נגדך!	الناس ضدكم!	مردم علیه شما هستند!	执政失败	사람들이 등을 돌렸습니다!	住民は君に反対だ！
LosePubOp_Description		You were not able to manage the emergency without losing the citizens' trust, but you can try again.	You were not able to manage the emergency without losing the citizens' trust, but you can try again.	Você não conseguiu lidar com a emergência sem perder a confiança dos cidadãos, mas voê pode tentar novamente.	No has conseguido gestionar la emergencia sin perder la confianza de los ciudadanos, pero puedes volver a intentarlo.	No has aconseguit gestionar l'emergència sense perdre la confiança dels ciutadans, però pots tornar-ho a intentar de nou.	Vous n'avez pas réussi à gérer l'urgence sans perdre la confiance des citoyens, mais vous pouvez tenter à nouveau.	Non sei riuscito a gestire l'emergenza senza perdere la fiducia dei cittadini, ma puoi provare di nuovo.	U kunt de noodsituatie niet beheersen zonder het vertrouwen van de burger te verliezen, maar u kunt het opnieuw proberen	Du konntest den Notfall nicht meistern, ohne das Vertrauen der Bürger zu verlieren, aber du kannst es noch einmal versuchen.	Nepodařilo se ti zvládnout nouzový stav, aniž bys ztratil důvěru lidí, ale můžeš to zkusit znova.	Nie udało ci się poradzić z sytuacją zagrożenia zdrowia bez utraty zaufania społecznego, ale możesz spróbować ponownie.	Ты потерял доверие граждан и не смог справиться с чрезвычайной ситуацией, но ты можете повторить попытку.	Тобі не вдалося впоратися з надзвичайною ситуацією без втрати довіри своїх громадян, але можеш спробувати знову.	Loše si upravljao kriznom situacijom jer si izgubio povjerenje građana, no možeš pokušati ponovno.	Δεν κατάφερες να διαχειριστείς την κρίση χωρίς να χάσεις την εμπιστοσύνη των πολιτών , αλλά μπορείς να προσπαθήσεις ξανά.	Acil durumu, vatandaşların güvenini kaybetmeden yönetemedin, ancak tekrar deneyebilirsin.	לא הצלחת לנהל את מצב החירום בלי לאבד את אמונם של האזרחים, אבל אפשר לנסות שוב	لم تكونوا قادرين على إدارة الحالة الطارئة من دون أن تفقدوا ثقة المواطن ، ولكن يمكنكم المحاولة من جديد.	شما بدون از دست دادن اعتماد شهروندان قادر به مدیریت اضطراری نبودید. اما می توانید دوباره امتحان کنید.	如果你在执政过程中失去民众信任值，你可以重头开始游戏。	비상사태를 해결하기 전에 시민의 신뢰를 잃었습니다. 다시 도전해보세요.	住民の信頼を失うことなく緊急事態を乗り越えることはできませんでしたが、もう1回トライしてみましょう
LosePatients_Title		SANITARY COLLAPSE!	SANITARY COLLAPSE!	COLAPSO SANITÁRIO	¡COLAPSO SANITARIO!	COL·LAPSE SANITARI!	ECROULEMENT SANITAIRE!	COLLASSO SANITARIO!	Gezondheidzorg instorten	SANITÄRER ZUSAMMENBRUCH!	KOLAPS ZDRAVOTNICTVÍ!	UPADEK SŁUŻBY ZDROWIA!	САНИТАРНЫЙ КРИЗИС!	САНІТАРНИЙ КОЛАПС!	KOLAPS ZDRAVSTVA!	ΥΓΕΙΟΝΟΜΙΚΗ ΚΑΤΑΣΤΡΟΦΗ!	SAĞLIK SİSTEMİ ÇÖKTÜ!	קריסה סניטרית!	إنهيار صحي!	کمبود لوازم بهداشتی !	卫生系统崩溃了！	보건체계 붕괴!	医療崩壊！
LosePatients_Description		You were not able to manage the emergency, the healthcare system collapsed and couldn't take care of all the patients, but you can try again.	You were not able to manage the emergency, the healthcare system collapsed and couldn't take care of all the patients, but you can try again.	Você não conseguiu lidar com a emergência, o sistema de saúde entrou em colapso e não deu conta de todos os pacientes, mas você pode tentar novamente.	No has conseguido gestionar la emergencia sin que el sistema sanitario colapsara y no pudiera atender a todos los pacientes, pero puedes volver a intentarlo.	No has aconseguit gestionar l'emergència sense que el sistema sanitari col·lapsi i no pugui atendre a tots els pacients, però pots tornar-ho a intentar de nou.	Vous n'avez pas réussi à gérer l'urgence sans que le système sanitaire ne s'écroule, mais vous pouvez tenter à nouveau.	Non sei riuscito a gestire l'emergenza, il sistema sanitario è al collasso e non è più possibile prendersi cura di tutti i pazienti, ma puoi provare di nuovo.	U kunt de noodsituatie niet beheersen, de gezondheidzorg is ingestort en kon niet voor alle patienten zorgen, maar u kunt het opnieuw proberen	Du konntest den Notfall nicht bewältigen, das Gesundheitssystem ist zusammengebrochen und du konntest dich nicht um alle Patienten kümmern, aber du kannst es noch einmal versuchen.	Nepodařilo se ti zvládnout nouzový stav, aniž by došlo ke kolapsu zdravotnictví, které se teď nemůže věnovat všem pacientům, ale můžeš to zkusit znova.	Nie udało ci się poradzić z sytuacją zagrożenia zdrowia, służba zdrowia upadła nie mogąc leczyć pacjentów, ale możesz spróbować ponownie.	Ты не смог справиться с чрезвычайной ситуацией! Система здравоохранения рухнула и не смогла позаботиться обо всех пациентах, но ты можешь повторить попытку.	Тобі не вдалося впоратися з надзвичайною ситуацією - система охорони здоров'я зазнала колапсу, але можеш спробувати знову.	Loše si upravljao kriznom situacijom, zdravstveni sustav se urušio a neki pacijenti nisu zbrinuti, no možeš pokušati ponovno.	Δεν κατάφερες να διαχειριστείς την κρίση, το σύστημα υγείας κατέρρευσε και δεν μπόρεσε να φροντίσει όλους τους ασθενείς, αλλά μπορείς να προσπαθήσεις ξανά.	Acil durumu yönetemedin, sağlık sistemi çöktü ve her hastayla ilgilenilemedi, ancak tekrar deneyebilirsin.	לא הצלחת לנהל את מצב החירום, מערכת הבריאות קורסת ולא יכלה לטפל בכל החולים, אבל אפשר לנסות שוב	لم تكونوا قادرين على إدارة الحالة الطارئة، لقد إنهار نظام الرعاية الصحية ولم يكن بإمكانكم رعاية جميع المرضى ، ولكن يمكنكم المحاولة من جديد.	شما قادر به اداره ای وضعیت اظطراری نبودید؛ سیستم بهداشتی سقوط کرده و نتوانستید از بیماران مراقبت کنید، اما میتوانید دوباره امتخان کنید.	如果你无法解决危机，医疗系统崩溃，无法让所有患者都得到救治，你可以重头开始游戏。	비상사태를 해결하기 전에, 밀려드는 환자를 감당하지 못하고 의료체계가 무너졌습니다. 다시 도전해보세요.	医療システムの崩壊なしに緊急事態を乗り越えることはできませんでしたが、もう1回トライしてみましょう
DaysText		Days	Days	Dias	Días	Dies	Jours	Giorni	Dagen	Tage	Dny	Dni	Дни	Дні(в)	Dani	Μέρες	Gün	ימים	أيام	روزها	天	일수	日
NewText		NEW	NEW	NOVO	NUEVO	NOU	NOUVEAU	NUOVO	Nieuw	NEU	NOVÝ	NOWY	НОВЫЙ	НОВИЙ	NOVI	ΝΕΟ	YENİ	חדש	جديد	جدید	新	신	ニュー
RecordText		RECORD	RECORD	RECORDE	RÉCORD	RÈCORD	RECORD	RECORD	RECORD	REKORD	REKORD	REKORD	РЕКОРД	РЕКОРД	REKORD	ΡΕΚΟΡ	REKOR	שיא	رقم قياسي	رکورد	录音	기록	レコード
YourRecordText		Your Record: %d% Days	Your Record: %d% Days	Seu recorde: %d% Dias	Tu Récord: %d% Días	El teu rècord: %d% Dies	Votre Record: %d% Jours	Il tuo record: %d% giorni	U record: %d% Dagen	Dein Rekord: %d% Tage	Tvůj rekord: %d% Dnů	Twój rekord: %d% Dni	ТВОЙ РЕКОРД: %d% дней	Твій рекорд: %d% Дні(в)	Tvoj rekord: %d% dani	Το ρεκόρ σου: %d% μέρες	Rekorun: %d% Gün	השיא שלך: %d% ימים	رقمكم القياسي: %d% يوم	رکورد شما: %d% روز	您的记录： %d%天	기록: %d%일	あなたのレコード: %d% 日
NextDay_Text		Next Day	Next Day	Dia Seguinte	Día siguiente	Dia següent	Jour suivant	Giorno successivo	Volgende dag	Nächster Tag	Následující den	Następny dzień	Следующий день	Наступний день	Sljedeći dan	Επόμενη Μέρα	Sonraki Gün	היום הבא	اليوم التالي	روز بعد	另一天	다음 날	次の日
StartNewGameText		START NEW GAME	START NEW GAME	NOVO JOGO	NUEVA PARTIDA	NOVA PARTIDA	NOUVELLE PARTIE	NUOVA PARTITA	Nieuw spel starten	NEUES SPIEL STARTEN	NOVÁ HRA	ROZPOCZNIJ NOWĄ GRĘ	НОВАЯ ИГРА	НОВА ГРА	ZAPOČNI NOVU IGRU	ΝΕΟ ΠΑΙΧΝΙΔΙ	YENİ OYUNA BAŞLA	התחל משחק חדש	بدء لعبة جديدة	بازی جدید	开始游戏	새로 하기	新しくゲームを始める
CallToActionTitleText		This is just a game.	This is just a game.	Isso é apenas um jogo.	Esto es solo un juego.	Això és només joc	Ce n'est qu'un jeu.	Questo è solo un gioco.	Dit is slechts een spel	Das ist nur ein Spiel.	Toto je pouze hra.	To jest tylko gra.	Это просто игра	Це просто гра.	Ovo je samo igra.	Αυτό είναι απλώς ένα παιχνίδι.	Bu sadece bir oyun.	זה רק משחק	هذه مجرد لعبة.	این فقط یک بازی است.	这只是一个游戏。	그저 게임일 뿐입니다.	これはただのゲームです。
CallToActionMessageText		The emergency is real.	The emergency is real.	A emergência é real.	La emergencia es real.	L'emergència és real	L'urgence existe réellement.	L'emergenza è reale.	De noodsituatie is echt	Der Notfall ist real.	Stav nouze je reálný.	Sytuacja zagrożenia zdrowia jest prawdziwa.	Чрезвычайная ситуация — реальная угроза.	Надзвичайна ситуація реальна.	Opasnost je stvarna.	Η κρίση ειναι αληθινή.	Acil durum ise gerçek.	החירום הוא אמיתי	إن حالة الطوارئ حقيقية.	حالت اظطراری واقعی است.	但危机是真实的。	비상사태는 진짜지만요.	緊急事態は現実です。
DonateText		DONATE NOW	DONATE NOW	DOE AGORA	DONA AHORA	DONA ARA	FAITES UN DON MAINTENANT	DONA ADESSO	DONEER NU	JETZT SPENDEN	POJĎTE PŘISPĚT	WSPOMÓŻ TERAZ	ПОЖЕРТВОВАТЬ СЕЙЧАС	ЗРОБИ ВНЕСОК ЗАРАЗ	DONIRAJ	ΣΥΝΕΙΣΦΕΡΕΤΕ ΤΩΡΑ	BAĞIŞ YAP	תרום עכשיו	تبرعوا الآن	اکنون اهداء کنید	我要捐助	기부해주세요	募金する
DonateURL		https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/donate/	https://flattenisland.org/donate/	https://flattenisland.org/donate/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/it/dona-ora/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/	https://flattenisland.org/en/donate-now/
MusicMenuText		Music	Music	Música	Música	Música	Musique	Musica	muziek	Musik	Hudba	Ścieżka dźwiękowa	Музыка	Музика	Glazba	Μουσική	MÜZİK	מוזיקה	موسيقى	موسیقی	音乐	음악	音楽
SFXMenuText		SFX	SFX	Efeitos Sonoros	Efectos	Efectes	Effets sonores	Suoni	SFK	SFX	Efekty	Efekty dźwiękowe	Эффекты	Ефекти	SFX	Ειδικά εφέ	SFX	SFX	المؤثرات الصوتية	جلوه های صوتی	SFX	음향 효과	SFX
TutorialMenuText		Tutorial	Tutorial	Tutorial	Tutorial	Tutorial	Tutoriel	Tutorial	Tutorial	Anleitung	Tutoriál	Tutorial	Обучалка	Інструкції	Tutorial	Οδηγίες	Öğretici	הדרכה	دورة تعليمية	آموزش	游戏说明	튜토리얼	チュートリアル
CreditsMenuText		Credits	Credits	Créditos	Créditos	Crèdits	Crédits	Riconoscimenti	Credits	Mitwirkende	Na hře pracovali	Twórcy	Титры	Титри	Zasluge	Συντελεστές	Jenerik	תודות	إعتمادات	اعتبارات	制作团队名单	제작진	クレジット
WatchIntroMenuText		Watch the Intro	Watch the Intro	Ver introdução	Ver Intro	Veure Intro	Voir l'intro	Introduzione	Bekijk de intro	Intro ansehen	Přehrát intro	Oglądaj wprowadzenie	См. информацию	Дивитись вступ	Pogledaj uvod	Δες την εισαγωγή	Tanıtımı izle	צפה במבוא	شاهدوا المقدمة	درباره بازی	观看演示	도입부 영상 보기	イントロを見る
DisclaimerTitle		DISCLAIMER	DISCLAIMER	AVISO LEGAL	DESCARGO DE RESPONSABILIDAD	RECLAMACIÓ	AVERTISSEMENT	AVVERTENZE	DISCLAIMER	HAFTUNGSAUSSCHLUSS	VYLOUČENÍ ZODPOVĚDNOSTI	ZASTRZEŻENIE	ОГРАНИЧЕНИЕ ОТВЕТСТВЕННОСТИ	ВІДМОВА ВІД ВІДПОВІДАЛЬНОСТІ	IZJAVA O ODRICANJU ODGOVORNOSTI	Δήλωση Αποποίησης Ευθύνης	FERAGATNAME	הצהרה	تنصل	رفع مسولیت	免责声明	주의사항	免責事項
